file,collection,kind,slug,route,locale,title,words,tables,mdLinks,quickAnswer,properties,dataPoints,faqs,checklist,source,sourceUrl,relatedEntityCount,rendered
src\content\core\surface-finishes\electropolishing.md,surfaceFinishes,Finish,electropolishing,/finishes/electropolishing/,en,electropolishing,126,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\surface-finishes\passivation.md,surfaceFinishes,Finish,passivation,/finishes/passivation/,en,passivation,144,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\surface-finishes\polishing.md,surfaceFinishes,Finish,polishing,/finishes/polishing/,en,polishing,129,1,0,true,false,false,false,false,false,false,0,YES
src\content\core\surface-finishes\pvd-coating.md,surfaceFinishes,Finish,pvd-coating,/finishes/pvd-coating/,en,pvd-coating,130,0,0,true,false,false,false,false,false,false,0,YES
src\content\core\surface-finishes\titanium-anodizing.md,surfaceFinishes,Finish,titanium-anodizing,/finishes/titanium-anodizing/,en,Titanium Anodizing — Complete Guide,30,0,0,true,false,false,false,false,false,false,4,YES
src\content\core\material-selection\aerospace-titanium.md,materialSelection,SelectionGuide,aerospace-titanium,/select/aerospace-titanium/,en,Aerospace Titanium Alloys Selection Guide,39,1,0,true,false,false,false,false,false,false,4,YES
src\content\core\material-selection\grade-selection-guide.md,materialSelection,SelectionGuide,grade-selection-guide,/select/grade-selection-guide/,en,How to Choose the Right Titanium Grade,54,1,0,true,false,false,false,false,false,false,5,YES
src\content\core\material-selection\medical-grade-titanium.md,materialSelection,SelectionGuide,medical-grade-titanium,/select/medical-grade-titanium/,en,Medical Grade Titanium: Grade 2 vs 5 vs 23,45,1,0,true,false,false,false,false,false,false,4,YES
src\content\core\material-selection\titanium-grades-chart.md,materialSelection,SelectionGuide,titanium-grades-chart,/select/titanium-grades-chart/,en,Titanium Grades Chart: ASTM/AMS/ISO Cross-Reference,54,1,0,true,false,false,false,false,false,false,9,YES
src\content\core\material-selection\titanium-vs-316-stainless.md,materialSelection,SelectionGuide,titanium-vs-316-stainless,/select/titanium-vs-316-stainless/,en,Titanium vs 316 Stainless Steel: Complete Comparison,43,1,0,true,false,false,false,false,false,false,4,YES
src\content\core\material-selection\titanium-vs-aluminum.md,materialSelection,SelectionGuide,titanium-vs-aluminum,/select/titanium-vs-aluminum/,en,Titanium vs 6061/7075 Aluminum: Complete Comparison,43,1,0,true,false,false,false,false,false,false,3,YES
src\content\core\material-selection\titanium-vs-carbon-steel.md,materialSelection,SelectionGuide,titanium-vs-carbon-steel,/select/titanium-vs-carbon-steel/,en,Titanium vs Carbon Steel: Strength & Weight Comparison,49,1,0,true,false,false,false,false,false,false,3,YES
src\content\core\material-selection\titanium-vs-inconel.md,materialSelection,SelectionGuide,titanium-vs-inconel,/select/titanium-vs-inconel/,en,Titanium vs Inconel: High Temperature Comparison,43,1,0,true,false,false,false,false,false,false,3,YES
src\content\core\failure-analysis\alpha-case.md,failureAnalysis,FailureMode,alpha-case,/failures/alpha-case/,en,"Alpha Case in Titanium: Formation, Detection & Removal",42,1,0,true,false,false,false,false,false,false,4,YES
src\content\core\failure-analysis\fatigue.md,failureAnalysis,FailureMode,fatigue,/failures/fatigue/,en,Fatigue Failure in Titanium Components,56,1,0,true,false,false,false,false,false,false,4,YES
src\content\core\failure-analysis\hydrogen-embritlement.md,failureAnalysis,FailureMode,hydrogen-embritlement,/failures/hydrogen-embritlement/,en,Hydrogen Embrittlement in Titanium,48,1,0,true,false,false,false,false,false,false,3,YES
src\content\core\failure-analysis\machining-defects.md,failureAnalysis,FailureMode,machining-defects,/failures/machining-defects/,en,15 Common Titanium Machining Defects & Solutions,54,1,0,true,false,false,false,false,false,false,4,YES
